slno,id,ward,wodetails,contractor,brnumber,amount,nett,deduction
1824,720962,54,054-22-000014</a>Operation and Maintenance of street light fittings in Ward No. 54 Hoody of Mahadevapura zone (M06),M/S THIRUMALA ELECTR[phone removed],BR - 000023 / 30-Apr-2025CBR - / Rtgs - 001832 / 05-Jun-2025,1112730,1012758,99972
1825,507822,81,081-20-000068</a>Providing in Concrete roads in Sai baba layout in ward No.81 Vignan Nagara,NIRATHI SRI CONSTRUC[phone removed],BR - 000367 / 14-Mar-2022CBR - / Rtgs - 001833 / 05-Jun-2025,5086426,4690642,395784
1826,533315,53,053-22-000009</a>Improvements to Roads and Drains at Manjunath layout Surrounding area in ward No-53 Basavanapura,026941 VIJAYA LAKSHMI ELECT[phone removed],BR - 000063 / 19-Jul-2022CBR - / Rtgs - 001834 / 05-Jun-2025,1547856,1433358,114498
1827,539059,51,"051-22-000003</a>Improvement Ashwath Katte. Near S L N Circle,Kothanuru in ward No-51 Vijinapura of Horamaavu sub Division.",027148 SKRAJU[phone removed],BR - 000096 / 19-Aug-2022CBR - / Rtgs - 001835 / 05-Jun-2025,3146148,2961976,184172
1828,511970,54,054-20-000046</a>Maintenance of Drains by providing covering slabs to Exisiting Drains at Hoodi ward areas in ward no.54,SLVCONSTRUCTIONS[phone removed],BR - 000009 / 18-Apr-2022CBR - / Rtgs - 001836 / 05-Jun-2025,893476,721422,172054
1829,545889,86,086-22-000004</a>Construction of road and drains at Yamaluru in ward no.86 Marathahalli,K THIRUPATHI REDDY[phone removed],BR - 000136 / 27-Sep-2022CBR - / Rtgs - 001837 / 05-Jun-2025,2409025,1924025,485000
1830,540477,25,025-22-000015</a>Construction of Compound wall and Other civil Work For PHC Jayanthi Nagara of Ward No-25 in Horamavu Sub-Division,022441 HANUMANTHAIAH[phone removed],BR - 000108 / 30-Aug-2022CBR - / Rtgs - 001838 / 05-Jun-2025,5130342,4598410,531932
1831,541310,26,026-20-000012</a>Comprehensive developements of roads and drains in NRI Layout Kalkere Banjara Layout K.Channasandra and R.M. Nagara ward surrounding area in Ward No - 26. ,PRASADK[phone removed],BR - 000111 / 05-Sep-2022CBR - / Rtgs - 001839 / 05-Jun-2025,9340712,8750016,590696
1832,550988,88,088-20-000051</a>Improvements to Roads and drains at Kohihalli Village in Ward No. 88 Jeevanbhimanagra .,022791 SANTOSH N[phone removed],BR - 000050 / 29-Oct-2022CBR - / Rtgs - 002603 / 05-Jun-2025,972943,928825,44118
1833,554750,49,049-22-000010</a>Drilling of borewell and pipeline in Ward No-49 Lingarajapura,022703 B P SHANMUGAM[phone removed],BR - 000064 / 18-Nov-2022CBR - / Rtgs - 002604 / 05-Jun-2025,1946799,1802718,144081
1834,556625,80,080-20-000173</a>Emergency Works for desilting of drains for the Year 2019-20 in Ward No. 80 Hoysalanagara for the Year 2019-20 .,024109 JEEVAN ENTERPRISES[phone removed],BR - 000059 / 30-Nov-2022CBR - / Rtgs - 002605 / 05-Jun-2025,727454,696268,31186
1835,549045,58,058-22-000004</a>Drilling of Borewell and Providing pipeline in Ward No.58-New Thippasandra,026183 NAGARAJ M[phone removed],BR - 000070 / 19-Aug-2024CBR - / Rtgs - 002606 / 05-Jun-2025,989589,952041,37548
1836,560956,28,"028-19-000020</a>Improvements to road and drains at M Narayanappa Layout Surrounding area in ward no. 28, Kammanahalli",G C S CONSTRUCTION[phone removed],BR - 000079 / 08-Feb-2023CBR - / Rtgs - 002607 / 05-Jun-2025,1533828,1282620,251208
1837,560950,28,"028-19-000022</a>Improvements to roads and drains at 1st and 2nd cross, Banasawadi main road in ward no. 28, Kammanahalli",G C S CONSTRUCTION[phone removed],BR - 000080 / 08-Feb-2023CBR - / Rtgs - 002608 / 05-Jun-2025,1593024,1325202,267822
1838,560958,49,"049-19-000022</a>Improvements to drain at Gundappa Mutt road in ward no 49, Lingarajapura",G C S CONSTRUCTION[phone removed],BR - 000078 / 08-Feb-2023CBR - / Rtgs - 002609 / 05-Jun-2025,1055901,892367,163534
1839,572228,49,"049-22-000003</a>Maintenance and Alteration Works to Community Centre in Ward No.49, Lingarajapura.",022703 B P SHANMUGAM[phone removed],BR - 000084 / 02-Mar-2023CBR - / Rtgs - 002610 / 05-Jun-2025,975109,906768,68341
1840,520296,117,117-20-000036</a>Providing CC road and Improvements to drains to Campbell road from Hosur road to Mother theresa road in Ward No. 117 Shanthinagara ,VIJAY KUMAR S[phone removed],BR - 000026 / 16-Sep-2022CBR - / Rtgs - 002611 / 05-Jun-2025,5347283,5049547,297736
1841,545790,90,090-22-000008</a>Improvement of Footpath and Drain in Ward No:90 Ulsoor for the year 2021-22 Improvement to Roads& Drains in Ward No.90 Ulsoor,023508 GIRIRAJ T[phone removed],BR - 000030 / 29-Sep-2022CBR - / Rtgs - 002612 / 05-Jun-2025,1989100,1868400,120700
1842,550761,90,090-22-000004</a>Improvements to roads and drains in Ward No 90-Ulsoor,023508 GIRIRAJ T[phone removed],BR - 000039 / 27-Oct-2022CBR - / Rtgs - 002613 / 05-Jun-2025,2760100,2581500,178600
1843,545900,23,023-22-000004</a>Asphalting of Connecting to Shabha Petunia Apartment and Surrounding Area IN Ward No.. 23Nagawara.,022711 VISHWANATH P[phone removed],BR - 000056 / 27-Sep-2022CBR - / Rtgs - 002614 / 05-Jun-2025,2664678,2387400,277278
1844,554751,27,"027-22-000003</a>Improvements to road and drains in 6th A main,2G cross in ward no 27 in Banasawadi",022711 VISHWANATH P[phone removed],BR - 000065 / 18-Nov-2022CBR - / Rtgs - 002615 / 05-Jun-2025,1713709,1576915,136794
1845,558051,30,030-23-000001</a>Flood Preventive and Protective Works at Low Lying areas and Vulnerable Points at BM Layout and Surrounding areas in Ward No-30 K.G.Halli,022703 B P SHANMUGAM[phone removed],BR - 000071 / 08-Dec-2022CBR - / Rtgs - 002616 / 05-Jun-2025,1574139,1492967,81172
1846,559227,113,113-23-000002</a>Maintenance of road side drains and culvert in Diamond District and K R Garden Surrounding areas in ward no.113,022791 SANTOSH N[phone removed],BR - 000071 / 13-Dec-2022CBR - / Rtgs - 002617 / 05-Jun-2025,1037777,996035,41742
1847,550986,113,113-22-000003</a>Maintanance and Repairs of Footpaths in Ward No 113 Konena Agrahara for the Year 2021-22,022799 RAKESH C GOWDA[phone removed],BR - 000049 / 29-Oct-2022CBR - / Rtgs - 002618 / 05-Jun-2025,1464564,1407852,56712
1848,559166,113,113-23-000001</a>Maintenance of road side drains and culverts at murgeshplaya surrounding areas in ward no.113,022799 RAKESH C GOWDA[phone removed],BR - 000065 / 13-Dec-2022CBR - / Rtgs - 002619 / 05-Jun-2025,1776680,1705313,71367
1849,559220,58,058-23-000003</a>Construction of culvert and maintenance of drains at vulnerable reaches at venkateshwara Colony and Bhoomireddy Colony Surroundin areas in ward no.58,022791 SANTOSH N[phone removed],BR - 000069 / 13-Dec-2022CBR - / Rtgs - 002620 / 05-Jun-2025,1386313,1330730,55583
1850,559205,57,057-23-000003</a>Maintenance of drains at vulnerable and culverts at Malleshapalya park 5th main ishwarya apartment 6th E Cross and other surrounding area in ward no.57,022791 SANTOSH N[phone removed],BR - 000068 / 13-Dec-2022CBR - / Rtgs - 002621 / 05-Jun-2025,744287,714826,29461
1851,559133,88,088-23-000002</a>Keeping of road side drains and construction of culverts in 18th A B C & D main in ward no.88,022791 SANTOSH N[phone removed],BR - 000064 / 13-Dec-2022CBR - / Rtgs - 002622 / 05-Jun-2025,2062215,1981045,81170
1852,567130,58,058-23-000002</a>Maintenance of drains at vulnerable reaches at 1st cross to 4th cross G.M.Playa Kaveri Layout and Surrounding areas in ward no.58,024109 JEEVAN ENTERPRISES[phone removed],BR - 000085 / 27-Jan-2023CBR - / Rtgs - 002623 / 05-Jun-2025,736627,707811,28816
1853,571474,50,"050-23-000001</a>Maintenance of road side drains at vulnerable reaches in sadanandanagara , Gajendranagara, A K Colony and Temple road in old Byappanahalli in ward no.50",022791 SANTOSH N[phone removed],BR - 000101 / 24-Feb-2023CBR - / Rtgs - 002624 / 05-Jun-2025,1092611,1051327,41284
1854,571777,27,027-23-000002</a>Flood Preventive and Protective Works at Low Lying areas and Vulnerable Points at OMBR Layout and Surrounding area in Ward No-27 Banasawadi,000241 NAGESHGADDURKRISHNAP[phone removed],BR - 000083 / 24-Feb-2023CBR - / Rtgs - 002625 / 05-Jun-2025,1567075,1438683,128392
1855,571842,59,059-22-000008</a>Improvements of Footpath in Maruthiseva nagar Surrounding area in ward no.59,000241 NAGESHGADDURKRISHNAP[phone removed],BR - 000082 / 24-Feb-2023CBR - / Rtgs - 002626 / 05-Jun-2025,1683356,1546136,137220
1856,572651,49,"049-22-000007</a>Providing and Laying Cement Concrete to Roads and drains in C Block in Ward No.49, Lingarajapura.",022711 VISHWANATH P[phone removed],BR - 000085 / 02-Mar-2023CBR - / Rtgs - 002627 / 05-Jun-2025,2011906,1839784,172122
1857,451541,67,067-20-000008</a>Providing Music system and additional landscape and other Improvements works at Vivekananda park in ward no 67 Nagapua ,MANOJ ENTERPRISES[phone removed],BR - 000101 / 08-Sep-2021CBR - / Rtgs - 002708 / 05-Jun-2025,5183077,4237898,945179
1858,535312,68,068-20-000097</a>Maintenance of Parks Civil Works in ward no 68,023898 SHIVARAJU G K [phone removed],BR - 000109 / 16-Aug-2022CBR - / Rtgs - 002709 / 05-Jun-2025,1374014,1199758,174256
1859,428808,148,148-19-000074</a>Providing and laying 300mm dia RCC Sewage line at14th D cross Yellamma Temple road from Indhira GAndhi Slum road to JJ Church Junction Ejipura under Ejipura Service Station ward no 148 coming under AEE SE-1 Sub Division,SARVAMANGALA ENTERPR[phone removed],BR - 000048 / 16-Jun-2021CBR - / Rtgs - 002976 / 05-Jun-2025,1317550,1218017,99533
1860,428818,148,148-19-000065</a>Providing and laying 30mm dia RCC NP-3 Class Sanitary Line in place of existing 225 mm dia Sanitary Line at Ring road near Srinivaglu Signal Ejipura coming under Ejipura Service Station of AEE SE-1 Sub Division,SARVAMANGALA ENTERPR[phone removed],BR - 000049 / 16-Jun-2021CBR - / Rtgs - 002977 / 05-Jun-2025,473270,436784,36486
1861,428719,148,148-19-000070</a>Providing and laying 300mm dia SW line at 19th cross Yellamma Temple road Ejipura under Ejipura Service Station ward no 148 under AEE SE-1 Sub Division,SARVAMANGALA ENTERPR[phone removed],BR - 000057 / 16-Jun-2021CBR - / Rtgs - 002978 / 05-Jun-2025,464124,427529,36595
1862,428915,148,148-19-000053</a>Providing and laying 300 mm dia RCC sewage line and construction of Manholes at 10th A cross to Unity Lane Ejipura under Ejipura service station ward no 148 Coming under AEE SE-1 Sub Division,SARVAMANGALA ENTERPR[phone removed],BR - 000058 / 16-Jun-2021CBR - / Rtgs - 002979 / 05-Jun-2025,429007,395210,33797
1863,428641,148,148-19-000056</a>Providing and laying 225 mm dia SW line in place of fully damaged 150mm dia SW line and reconstruction of damaged manhole at (1) Renuka Yellamma Temple road to 19th A Cross (2) 24th C cross (3) 4th cross behind church (4) 20th C 1st Cross under Ejipura service station ward no 148 Coming under AEE SE-1 Sub Division,SARVAMANGALA ENTERPR[phone removed],BR - 000059 / 16-Jun-2021CBR - / Rtgs - 002980 / 05-Jun-2025,464949,427524,37425
1864,428814,148,148-19-000052</a>Providing and laying 300 mm dia RCC sewage line at 14th D cross to Unity Lane Ejipura under Ejipura service station ward no 148 Coming under AEE SE-1 Sub Division,SARVAMANGALA ENTERPR[phone removed],BR - 000052 / 16-Jun-2021CBR - / Rtgs - 002981 / 05-Jun-2025,442177,407697,34480
1865,476589,148,148-19-000047</a>Providing and laying 300 mm dia RCC sewage line at 14th Cross Ejipura under Ejipura service station ward no 148 Coming under AEE SE-1 Sub Division,SARVAMANGALA ENTERPR[phone removed],BR - 000190 / 29-Dec-2021CBR - / Rtgs - 002982 / 05-Jun-2025,461137,425594,35543
1866,486975,198,198-20-000074</a>Construction of Shuttle Badmiton Court at BBMP Layout in Hemmigepura Ward No 198,RAMALINGU[phone removed],BR - 000040 / 22-Dec-2021CBR - / Rtgs - 001633 / 06-Jun-2025,20156596,17481515,2675081
1867,501061,198,198-21-000009</a>Development of Ground and chain link fencing in BCMC Layout in ward no 198,M M CONSTRUCTIONS[phone removed],BR - 000050 / 15-Feb-2022CBR - / Rtgs - 001634 / 06-Jun-2025,9840340,7884485,1955855
1868,473541,130,130-21-000015</a>Consultancy Services for Project Management including Supervision and Quality Control for Improvements of Roads and Drains and Other basic infrastructures in Ward No-130.,BANGALORE CIVIL INFR[phone removed],BR - 000189 / 08-Dec-2021CBR - / Rtgs - 001635 / 06-Jun-2025,490000,441000,49000
1869,523242,159,159-21-000012</a>Providing Consultancy Services for Project Management including supervision and Quality Control for Improvements to Drains and Footpath in Basaveshwara Layout Ramegowda Layout and Surrounding area in ard No-159,CIVIL QUALITY CONSUL[phone removed],BR - 000040 / 15-Jun-2022CBR - / Rtgs - 001636 / 06-Jun-2025,190000,171000,19000
1870,545739,40,"040-22-000017</a>Providing street lights with allied accessories in Ward no-40, of RR Nagar zone.",026383 VEDHA ELECTRICALS[phone removed],BR - 000082 / 26-Sep-2022CBR - / Rtgs - 001637 / 06-Jun-2025,19350217,18598323,751894
1871,560581,130,"130-22-000008</a>Providing street lights with allied accessories in Ward no-130, of RR Nagar zone.",022484 VIJAYALAKSHMI ASSOCI[phone removed],BR - 000143 / 21-Dec-2022CBR - / Rtgs - 001638 / 06-Jun-2025,3205775,3081207,124568
1872,437743,73,073-19-000044</a>Water supply of New Areas In Ward No 73,PRAKASH S[phone removed],BR - 000077 / 22-Jul-2021CBR - / Rtgs - 001639 / 06-Jun-2025,3666968,3152300,514668
1873,437760,73,073-20-000006</a>Providing of Concrete work selected roads in Malagala Village in Ward No 73 Kottigepalya,PRAKASH S[phone removed],BR - 000078 / 22-Jul-2021CBR - / Rtgs - 001640 / 06-Jun-2025,2959245,2546600,412645
1874,437907,73,073-20-000007</a>Providing Borewell and Construction of Toilet in Adijamba Colony in Ward No 73 kottigepalya,PRAKASH S[phone removed],BR - 000080 / 22-Jul-2021CBR - / Rtgs - 001641 / 06-Jun-2025,1306115,1128300,177815
1875,437715,73,073-18-000048</a>Desiting and Development of Drain and site clearance in 10th main and cross road at 9th Block Nagarabhavi 2nd stage in ward no 73 Kottigepalya,MANJULA K [phone removed],BR - 000082 / 22-Jul-2021CBR - / Rtgs - 001642 / 06-Jun-2025,2642409,2296600,345809
1876,464628,73,073-20-000008</a>Providing Cement Concrete Road to remaining roads in Narasimhapalya in Ward No 73 Kottigepalya,PRAKASH S[phone removed],BR - 000167 / 01-Oct-2021CBR - / Rtgs - 001643 / 06-Jun-2025,3447086,2984000,463086
1877,467756,73,073-18-000054</a>Construction of Compound at Ganapathi Temple Nagarabhavi 10th Block In Ward No 73 Kottigepalya,MANJULA K [phone removed],BR - 000168 / 11-Oct-2021CBR - / Rtgs - 001644 / 06-Jun-2025,2572628,2184900,387728
1878,472531,73,073-18-000053</a>Construction of Jnana Mandhira Near Chowdeshwari Temple at Nagarabhavi 3rd Block In Ward No 73 Kottigepalya,SRI CHANNIGARAYA SWA[phone removed],BR - 000195 / 08-Nov-2021CBR - / Rtgs - 001645 / 06-Jun-2025,2956976,2548600,408376
1879,472543,73,073-20-000010</a>Providing development Works to Jnanamandira near Chamundeshwari temple 3rd Block in Ward No 73 Kottigepalya,SRI CHANNIGARAYA SWA[phone removed],BR - 000194 / 08-Nov-2021CBR - / Rtgs - 001646 / 06-Jun-2025,2885926,2498500,387426
1880,460877,159,159-17-000004</a>Providing Energy saving LED Lights in BBMP parks at Kengeri Satellite Town in Ward No 159,KRIDL BHUSIRI ACCOU[phone removed],BR - 000038 / 17-Sep-2021CBR - / Rtgs - 001647 / 06-Jun-2025,1817004,1564679,252325
1881,485543,73,073-21-000004</a>Maintenance of Library and Auditorium at 11th Block in Kottigepalya ward no 73,MANJULA K [phone removed],BR - 000201 / 16-Dec-2021CBR - / Rtgs - 001648 / 06-Jun-2025,2387202,1969700,417502
1882,493551,73,073-20-000012</a>Providing Developments Works Ward office Building In Ward No 73 Kottigepalya,DARSHAN C R[phone removed],BR - 000227 / 14-Jan-2022CBR - / Rtgs - 001649 / 06-Jun-2025,1473013,1273500,199513
1883,505721,130,130-19-000054</a>Improvements at Upkar layout Park in ward no 130 Ullal,SHIVAMANI CONSTRUCTI[phone removed],BR - 000251 / 10-Mar-2022CBR - / Rtgs - 001650 / 06-Jun-2025,826937,794806,32131
1884,505732,130,130-19-000053</a>Improvements at Valagerahalli Temple Park in ward no 130 Ullal,SHIVAMANI CONSTRUCTI[phone removed],BR - 000250 / 10-Mar-2022CBR - / Rtgs - 001651 / 06-Jun-2025,844707,811884,32823
1885,510008,42,042-20-000004</a>Public Toilet Repair and maintainers in gorguntepalya surroundings in Ward No 42,SANTHOSHKUMARS[phone removed],BR - 000259 / 28-Mar-2022CBR - / Rtgs - 001652 / 06-Jun-2025,951027,872700,78327
1886,563122,188,"188-23-000003</a>De-Silting of Lowlaying areas in Ward Drains, Removal and Refixing of Drain Slabs, Missing Drain slabs, Debries clearence, Culverts repairs and New Culverts, Left out tree branches & Leaf waste clearance, Purchasing water pumps, Missing bits of Sewage drains, RCC Hume pipe for road side drains leading to SW. Drain, in Ward No. 188, Bilekahalli.",012429 R S N ENTERPRISES [phone removed],BR - 000073 / 07-Jan-2023CBR - / Rtgs - 001658 / 06-Jun-2025,2935029,2570155,364874
1887,563297,174,"174-23-000004</a>De-Silting of Lowlaying areas in Ward Drains, Removal and Refixing of Drain Slabs, Missing Drain slabs, Debries clearence, Culverts repairs and New Culverts, Left out tree branches & Leaf waste clearance, Purchasing water pumps, Missing bits of Sewage drains, RCC Hume pipe for road side drains leading to SW. Drain, in Ward No. 174, HSR Layout.",000559 SRINATH B S [phone removed],BR - 000075 / 20-Jan-2023CBR - / Rtgs - 001659 / 06-Jun-2025,3392675,3260940,131735
1888,538590,3,"003-22-000016</a>Improvements of roads, development of Parks and Construction of Buildings in ward no 01, 02, 03 & 04 of Yelahanka Division Under 2021-22 District Minister Grants (Package No-15)",023272 K LAKSHMI NARAYANA R[phone removed],BR - 000091 / 19-Sep-2022CBR - / Rtgs - 001684 / 06-Jun-2025,8867700,8483626,384074
1889,554473,25,025-22-000014</a>Improvements to Roads and Drains at Sir M.V.Nagara Surrounding Area in Horamavu Ward No.25 of Horamavu Sub Division,022263 MOHAMMEDNAWAZSHARIFF[phone removed],BR - 000154 / 17-Nov-2022CBR - / Rtgs - 001840 / 06-Jun-2025,2042073,1925087,116986
1890,566018,51,"051-23-000003</a>Flood Preventive & Protective works at low lying area and Vulnerable Points of Nagappa Reddy Layout, Lakshmanamurthy Nagara, RR Layout & Surrounding area in Vijinapura Ward No-51.",023480 NAVEEN.D.R.[phone removed],BR - 000198 / 18-Jan-2023CBR - / Rtgs - 001841 / 06-Jun-2025,2089244,1995206,94038
1891,565871,51,"051-23-000002</a>Flood Preventive & Protective works at low lying area and Vulnerable Points of Ambedkar Nagara, Brindavan Layout, Kuvempu Layout, ITC Layout & Surrounding area in Vijinapura Ward No-51. ",022441 HANUMANTHAIAH[phone removed],BR - 000197 / 18-Jan-2023CBR - / Rtgs - 001842 / 06-Jun-2025,2084625,1885511,199114
1892,565840,58,058-21-000006</a>Improvements of Pathway at Byrasandra Kelagina Kere in ward no 58 New Thippasandra Ward,022692 J C PRAKASH INFRASTR[phone removed],BR - 000041 / 18-Jan-2023CBR - / Rtgs - 000331 / 09-Jun-2025,9364320,8925575,438745
1893,478587,13,013-20-000126</a>Maintenance of ward office and Engineer office in ward no 13 shettyhalli sub division,GIRIJA SHANKAR P[phone removed],BR - 000087 / 24-Nov-2021CBR - / Rtgs - 000466 / 09-Jun-2025,1956586,1879042,77544
1894,496304,14,014-20-000120</a>Providing Name boards and stickring and labelling in Bagalagunte in ward no 14,GIRIJA SHANKAR P[phone removed],BR - 000102 / 05-Feb-2022CBR - / Rtgs - 000467 / 09-Jun-2025,2920447,2803508,116939
1895,580034,14,014-22-000003</a>Annual maintenance and Repairs to Electrical instalation at JC dasarahalli Zonal office building,CHETHAN ELECTRICALS[phone removed],BR - 000004 / 19-Apr-2023CBR - / Rtgs - 000468 / 09-Jun-2025,230366,220924,9442
1896,520745,39,039-19-000028</a>Providing and replacements of Aerial bunched cables to the chokkasandra kere road Dynamatic factory to NTTF circle ward no 39,RAJASHREE ELECTRICAL[phone removed],BR - 000083 / 20-Mar-2023CBR - / Rtgs - 000469 / 09-Jun-2025,179840,171055,8785
1897,632924,39,"039-20-000039</a>Developments of Balance works in Dasarahalli Lake Park area in Ward No.39, PIA Sub Division.",005419 SRI GAVI RANGANATHA [phone removed],BR - 000039 / 30-Jan-2024CBR - / Rtgs - 000474 / 09-Jun-2025,443672,424095,19577
1898,593214,14,014-22-000009</a>Maintenance of Dasarahalli Zonal Office in Bagalagunte Ward No 14,032898 SRIVINAYAKAFABRICATO[phone removed],BR - 000021 / 28-Jul-2023CBR - / Rtgs - 000476 / 09-Jun-2025,1988128,1910425,77703
1899,511583,14,014-19-000192</a>Annual Maintenance and Repairs to Electrical Installation at JC dasarahalli Zonal office building,RAJASHREE ELECTRICAL[phone removed],BR - 000001 / 07-Apr-2022CBR - / Rtgs - 000479 / 09-Jun-2025,476640,458119,18521
1900,540318,41,041-22-000007</a>Providing LED Street Lights /Poles/Control Switches /control Wires at Dark/Vulnerable Places in ward no.41,022492 ARAVINDA ELECTRICALS[phone removed],BR - 000010 / 26-Aug-2022CBR - / Rtgs - 000480 / 09-Jun-2025,13071803,12433151,638652
1901,540035,39,"039-22-000011</a>Providing LED Street Lights /Poles/Control Switches /control Wires at Dark/Vulnerable Places in ward no.39,70 and 71",022492 ARAVINDA ELECTRICALS[phone removed],BR - 000009 / 26-Aug-2022CBR - / Rtgs - 000481 / 09-Jun-2025,17504012,16648816,855196
1902,539278,71,071-18-000086</a>Development Works in Parks in Ward No 71 Hegganahalli Sub Division,032350 RAVI TEJAS[phone removed],BR - 000070 / 20-Aug-2022CBR - / Rtgs - 000482 / 09-Jun-2025,809514,750977,58537
1903,540614,41,"041-21-000010</a>providing ABC Cable, and Automatic switches etc to Vijaya Rolling Mills To Ganapathi Nagar ward No-41.",022312 SWAMY S[phone removed],BR - 000012 / 30-Aug-2022CBR - / Rtgs - 000483 / 09-Jun-2025,299511,287232,12279
1904,541303,12,012-22-000009</a>Providing LED Street lights/Poles/Control switches/control wires at Dark/volernabal places in Ward no 12,026383 VEDHA ELECTRICALS[phone removed],BR - 000017 / 03-Sep-2022CBR - / Rtgs - 000484 / 09-Jun-2025,24137069,23199170,937899
1905,541307,13,"013-22-000006</a>Providing LED Street lights/Control switches/Poles/control wires at Dark/volernabal places in Ward no 13, 14 and 15",026383 VEDHA ELECTRICALS[phone removed],BR - 000018 / 03-Sep-2022CBR - / Rtgs - 000485 / 09-Jun-2025,17701567,17013733,687834
1906,538274,15,015-18-000010</a>De-silting and Re-setting of drain and Re asphalting to Kempegowda Nagara and Maheshwari Nagara roads Dasarahalli ward no 15.,005422 KUMAR D V[phone removed],BR - 000072 / 26-Aug-2022CBR - / Rtgs - 000486 / 09-Jun-2025,5390338,4811107,579231
1907,542929,12,012-20-000118</a>Improvements to roads Kempegowda Garden and surrounding area in ward no 12 Shettyhalli,Mr HANUMANTHARAJU[phone removed],BR - 000076 / 15-Sep-2022CBR - / Rtgs - 000487 / 09-Jun-2025,5094506,4102874,991632
1908,521914,70,"070-19-000005</a>Construction and Improvements to Roads and CC Drains near Kodava Samaja, Ramaiah Badavane main road, 4th and 5th cross of Ramaiah Badavane cross roads from 8th cross to 14th cross and southern side cross roads connecting D.I.A main road in ward no 70",VISHWANATH K J[phone removed],BR - 000048 / 31-May-2022CBR - / Rtgs - 000488 / 09-Jun-2025,41407912,35136766,6271146
1909,546415,39,"039-22-000004</a>Replacement of Burntout UG Cable,Panels boards and its accessories coming under Dasarahalli Zone Ward 39,41,70 & 71",CHETHAN ENTERPRISES[phone removed],BR - 000032 / 29-Sep-2022CBR - / Rtgs - 000489 / 09-Jun-2025,345149,331738,13411
1910,546408,12,"012-22-000003</a>Replacement of Burntout UG Cable,Panels boards and its accessories coming under Dasarahalli Zone Ward 12,13,14,15",CHETHAN ENTERPRISES[phone removed],BR - 000031 / 29-Sep-2022CBR - / Rtgs - 000490 / 09-Jun-2025,297285,285734,11551
1911,546425,12,"012-22-000002</a>Replacement of Burntout UG Cable,Panels boards and its accessories coming under Dasarahalli Zone Ward 12,13,14,15 ",CHETHAN ENTERPRISES[phone removed],BR - 000033 / 29-Sep-2022CBR - / Rtgs - 000491 / 09-Jun-2025,352246,338560,13686
1912,543249,39,"039-18-000038</a>Improvements of Roads and Drains at Kempaiah Badavane in ward No.39, Chokkasandra, PIA Sub Division.",027177 DAKSHA D S[phone removed],BR - 000077 / 15-Sep-2022CBR - / Rtgs - 000492 / 09-Jun-2025,1655388,1568858,86530
1913,555608,14,014-22-000003</a>Annual maintenance and Repairs to Electrical instalation at JC dasarahalli Zonal office building,CHETHAN ELECTRICALS[phone removed],BR - 000043 / 22-Nov-2022CBR - / Rtgs - 000493 / 09-Jun-2025,259806,249710,10096
1914,557221,39,"039-22-000011</a>Providing LED Street Lights /Poles/Control Switches /control Wires at Dark/Vulnerable Places in ward no.39,70 and 71",022492 ARAVINDA ELECTRICALS[phone removed],BR - 000047 / 03-Dec-2022CBR - / Rtgs - 000494 / 09-Jun-2025,10638620,10061229,577391
1915,557228,41,041-22-000007</a>Providing LED Street Lights /Poles/Control Switches /control Wires at Dark/Vulnerable Places in ward no.41,022492 ARAVINDA ELECTRICALS[phone removed],BR - 000048 / 03-Dec-2022CBR - / Rtgs - 000495 / 09-Jun-2025,14630893,13857578,773315
1916,563754,14,"014-18-000058</a>Comprehensive Development works in Ward No.14,dasarahalli Sub Division ",022798 SHIVAKUMAR N M[phone removed],BR - 000121 / 07-Jan-2023CBR - / Rtgs - 000496 / 09-Jun-2025,5461534,5166964,294570
1917,563725,14,014-18-000068</a>De-silting and Re-setting of drain and Re asphalting to 3rd main 4th main 7th main road of MEI Layout in ward no 14 Bagalagunte.,022644 LAKSHMINARAYANA.M.MO[phone removed],BR - 000122 / 07-Jan-2023CBR - / Rtgs - 000497 / 09-Jun-2025,5504108,5203864,300244
1918,580815,71,071-20-000182</a>Development and repair work to parks in ward no 71 Hegganahalli,016416 M.SHANKARAPPA [phone removed],BR - 000003 / 27-Apr-2023CBR - / Rtgs - 000498 / 09-Jun-2025,6069018,5728030,340988
1919,599225,12,"012-20-000008</a>Construction of Strishakti Bhavan at Abbigere in ward no 12 Shettyhalli, Shettyhalli Sub division",M.SHANKARAPPA [phone removed],BR - 000029 / 28-Aug-2023CBR - / Rtgs - 000499 / 09-Jun-2025,5963643,5740009,223634
1920,571142,16,016-21-000008</a>Additional Works to Jalahalli Govt School in ward no 16,DAMODAR K & CO[phone removed],BR - 000262 / 18-Feb-2023CBR - / Rtgs - 001653 / 09-Jun-2025,16968301,16077174,891127
1921,527887,17,017-20-000051</a>Comprehensive development of drains left side of Muthyalamma temple in war no 17 J P Park,A AJAY KUMAR[phone removed],BR - 000034 / 28-Jun-2022CBR - / Rtgs - 001654 / 09-Jun-2025,4896152,4018000,878152
1922,527835,17,017-20-000053</a>Comprehensive development of drains right side of Muthyalamma temple in war no 17 J P Park,A AJAY KUMAR[phone removed],BR - 000033 / 28-Jun-2022CBR - / Rtgs - 001655 / 09-Jun-2025,4894011,4022200,871811
1923,573091,129,129-20-000117</a>Improvements to Roads at Adarsh layout Mallathahalli and surrounding areas in ward no 129,HARISH ENTERPRISES[phone removed],BR - 000279 / 03-Mar-2023CBR - / Rtgs - 001656 / 09-Jun-2025,4941916,4063297,878619
