slno,id,ward,wodetails,contractor,brnumber,amount,nett,deduction
1521,720442,10,010-22-000003</a>Annual Maintenance and repairs of street lights in ward no 10 Package Y -10 of Yelahanka Zone,SBES ELECTRICALS[phone removed],BR - 000004 / 28-Apr-2025CBR - / Rtgs - 001604 / 27-May-2025,267629,248304,19325
1522,720465,1,001-22-000008</a>Annual Maintenance and repairs of street lights in ward no 01 Package Y -01 of Yelahanka Zone., SRI VINAYAKA ELECTR[phone removed],BR - 000005 / 28-Apr-2025CBR - / Rtgs - 001605 / 27-May-2025,592982,553309,39673
1523,720469,5,005-22-000005</a>Annual Maintenance and repairs of street lights in ward no 05 Package Y -05 of Yelahanka Zone., SRI VINAYAKA ELECTR[phone removed],BR - 000006 / 28-Apr-2025CBR - / Rtgs - 001606 / 27-May-2025,1697965,1586388,111577
1524,721283,2,002-22-000008</a>Annual Maintenance and repairs of street lights in ward no 02 Package Y -02 of Yelahanka Zone.,SURAKSHA ELECTRICALS[phone removed],BR - 000028 / 29-Apr-2025CBR - / Rtgs - 001628 / 27-May-2025,315050,293330,21720
1525,721287,4,004-22-000011</a>Annual Maintenance and repairs of street lights in ward no 04 Package Y -04 of Yelahanka Zone.,SURAKSHA ELECTRICALS[phone removed],BR - 000029 / 29-Apr-2025CBR - / Rtgs - 001629 / 27-May-2025,393589,367579,26010
1526,721295,3,003-22-000023</a> Annual Maintenance and repairs of street lights in ward no 03 Package Y -03 of Yelahanka Zone., SRI NANJUNDESHWARA[phone removed],BR - 000030 / 29-Apr-2025CBR - / Rtgs - 001630 / 27-May-2025,586000,547254,38746
1527,721300,11,011-22-000005</a>Annual Maintenance and repairs of street lights in ward no 11 Package Y -11 of Yelahanka Zone,SRI LAKSHMINARASIMHA ELECTRICALS[phone removed],BR - 000031 / 29-Apr-2025CBR - / Rtgs - 001631 / 27-May-2025,269596,250650,18946
1528,721387,1,001-22-000008</a>Annual Maintenance and repairs of street lights in ward no 01 Package Y -01 of Yelahanka Zone., SRI VINAYAKA ELECTR[phone removed],BR - 000033 / 29-Apr-2025CBR - / Rtgs - 001632 / 27-May-2025,296490,276404,20086
1529,721392,5,005-22-000005</a>Annual Maintenance and repairs of street lights in ward no 05 Package Y -05 of Yelahanka Zone., SRI VINAYAKA ELECTR[phone removed],BR - 000034 / 29-Apr-2025CBR - / Rtgs - 001633 / 27-May-2025,848983,793194,55789
1530,721399,8,008-22-000004</a>Annual Maintenance and repairs of street lights in ward no 08 Package Y -08 of Yelahanka Zone, JAICAB ELECTRICALS[phone removed],BR - 000036 / 29-Apr-2025CBR - / Rtgs - 001634 / 27-May-2025,305400,284771,20629
1531,450504,81,081-21-000018</a>Improvements to roads and drains at Nullur Puram in Vignan Nagara ward No-81. ,Mr ALANKAR K B[phone removed],BR - 000174 / 11-Aug-2021CBR - / Rtgs - 001795 / 27-May-2025,5237757,4977391,260366
1532,510129,25,025-21-000011</a>Construction of CC Roads in Chelekere and Jayanthinagara Grama in Horamavu ward No 25. ,Mr ALANKAR K B[phone removed],BR - 000399 / 22-Mar-2022CBR - / Rtgs - 001796 / 27-May-2025,5192655,4841763,350892
1533,648364,87,087-23-000001</a>improvemwnts to roads and drains at different layouts and surrounding area roads of ward no 87 hal airport consisting of 2 works package 19go sl no 34 and 35 1 ramesh nagara vibhuthipura annasandra palya vinayaka nagara and surrounding area 2 nellurpuram reddy palya jyothi nagara ambedkar nagara jagadhish nagara and surrounding area,024347 CKG CONSTRUCTIONS PV[phone removed],BR - 000254 / 21-Mar-2024CBR - / Rtgs - 001797 / 27-May-2025,34133329,32062619,2070710
1534,497621,124,124-20-000020</a>Construction of pranathana Mandira hosahalli AK Colony in ward no 124, S P CONSTRUCTIONS[phone removed],BR - 000090 / 08-Feb-2022CBR - / Rtgs - 002907 / 27-May-2025,6518050,5436052,1081998
1535,529335,124,124-20-000020</a>Construction of pranathana Mandira hosahalli AK Colony in ward no 124, S P CONSTRUCTIONS[phone removed],BR - 000025 / 05-Jul-2022CBR - / Rtgs - 002908 / 27-May-2025,393725,332304,61421
